"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","01-Jan-2015","       1135.90","       1130.00","       1131.15","       1120.10","       1125.90","       1124.00","       1124.23","     401576","           451464950.40","      11804","     128793","         32.07"
"HDFC","EQ","02-Jan-2015","       1124.00","       1127.30","       1176.95","       1125.35","       1171.05","       1171.90","       1159.93","    2019816","          2342844535.05","      59071","    1258847","         62.32"
"HDFC","EQ","05-Jan-2015","       1171.90","       1168.80","       1175.00","       1150.40","       1154.95","       1156.40","       1159.24","    2219458","          2572880193.40","      57749","    1414720","         63.74"
"HDFC","EQ","06-Jan-2015","       1156.40","       1148.60","       1148.60","       1096.10","       1098.00","       1101.95","       1117.84","    2531748","          2830099552.25","      81436","    1547523","         61.12"
"HDFC","EQ","07-Jan-2015","       1101.95","       1097.50","       1114.15","       1095.00","       1097.65","       1099.25","       1105.58","    2406880","          2660992424.35","     133109","    1533304","         63.71"
"HDFC","EQ","08-Jan-2015","       1099.25","       1114.00","       1128.50","       1110.00","       1122.15","       1123.35","       1118.69","    1675711","          1874600119.40","      44297","    1065069","         63.56"
"HDFC","EQ","09-Jan-2015","       1123.35","       1127.00","       1135.95","       1103.40","       1110.00","       1113.30","       1119.75","    1125756","          1260570300.80","      57487","     538011","         47.79"
"HDFC","EQ","12-Jan-2015","       1113.30","       1114.35","       1135.00","       1098.40","       1129.15","       1128.55","       1114.18","    1483952","          1653391028.30","      60582","     845490","         56.98"
"HDFC","EQ","13-Jan-2015","       1128.55","       1134.40","       1137.30","       1113.60","       1123.10","       1122.20","       1128.59","    1460452","          1648246362.65","      62788","     990333","         67.81"
"HDFC","EQ","14-Jan-2015","       1122.20","       1128.70","       1136.85","       1112.60","       1120.90","       1120.30","       1124.14","    1407126","          1581800313.65","      57137","     825227","         58.65"
"HDFC","EQ","15-Jan-2015","       1120.30","       1145.05","       1210.90","       1144.70","       1194.00","       1202.55","       1180.53","    3691695","          4358144100.10","      76512","    2190164","         59.33"
"HDFC","EQ","16-Jan-2015","       1202.55","       1207.50","       1209.00","       1191.00","       1198.00","       1194.55","       1197.21","    3113114","          3727039002.55","      93983","    2311614","         74.25"
"HDFC","EQ","19-Jan-2015","       1194.55","       1198.00","       1204.65","       1178.15","       1181.00","       1181.70","       1186.38","     964317","          1144048185.70","      39492","     692405","         71.80"
"HDFC","EQ","20-Jan-2015","       1181.70","       1185.10","       1257.75","       1181.05","       1250.00","       1251.55","       1235.74","    4307951","          5323485839.40","     113099","    2751583","         63.87"
"HDFC","EQ","21-Jan-2015","       1251.55","       1259.00","       1297.40","       1252.25","       1289.05","       1287.20","       1282.81","    4571279","          5864101184.40","     137544","    2815167","         61.58"
"HDFC","EQ","22-Jan-2015","       1287.20","       1287.00","       1294.85","       1272.00","       1280.00","       1279.65","       1279.93","    2899200","          3710762605.70","     102384","    2209024","         76.19"
"HDFC","EQ","23-Jan-2015","       1279.65","       1288.70","       1340.95","       1280.20","       1281.60","       1290.10","       1304.55","    4046463","          5278817073.45","     163681","    2287758","         56.54"
"HDFC","EQ","27-Jan-2015","       1290.10","       1303.90","       1320.00","       1288.55","       1312.10","       1315.85","       1309.24","    4368011","          5718754486.10","     160915","    3287472","         75.26"
"HDFC","EQ","28-Jan-2015","       1315.85","       1323.95","       1361.85","       1300.70","       1345.00","       1344.60","       1335.09","    5446676","          7271827801.95","     103151","    3784598","         69.48"
"HDFC","EQ","29-Jan-2015","       1344.60","       1338.15","       1343.90","       1295.40","       1310.00","       1315.55","       1314.59","    5914732","          7775421949.65","     152914","    3866984","         65.38"
"HDFC","EQ","30-Jan-2015","       1315.55","       1328.40","       1333.00","       1257.75","       1276.00","       1262.50","       1274.10","    3825989","          4874707664.65","     137606","    2712146","         70.89"
"HDFC","EQ","02-Feb-2015","       1262.50","       1262.50","       1284.50","       1243.60","       1264.30","       1269.30","       1260.69","    3229041","          4070828683.60","     106809","    2206063","         68.32"
"HDFC","EQ","03-Feb-2015","       1269.30","       1262.50","       1272.00","       1225.90","       1233.85","       1230.15","       1242.44","    2595433","          3224674727.70","      95871","    1748354","         67.36"
"HDFC","EQ","04-Feb-2015","       1230.15","       1231.05","       1252.00","       1221.10","       1230.00","       1232.45","       1242.31","    3263264","          4053996559.60","      94231","    2340474","         71.72"
"HDFC","EQ","05-Feb-2015","       1232.45","       1236.90","       1292.00","       1208.15","       1243.85","       1246.45","       1258.80","    3349987","          4216963936.80","      85925","    1746613","         52.14"
"HDFC","EQ","06-Feb-2015","       1246.45","       1245.00","       1289.80","       1244.30","       1282.90","       1280.55","       1275.50","    2615151","          3335621605.80","      72151","    1270474","         48.58"
"HDFC","EQ","09-Feb-2015","       1280.55","       1267.00","       1279.25","       1245.55","       1267.65","       1271.95","       1262.84","    1258970","          1589880619.55","      40583","     627117","         49.81"
"HDFC","EQ","10-Feb-2015","       1271.95","       1254.10","       1293.00","       1232.30","       1241.45","       1246.15","       1258.84","    2521026","          3173562923.40","      87252","    1542065","         61.17"
"HDFC","EQ","11-Feb-2015","       1246.15","       1248.90","       1267.70","       1242.25","       1249.00","       1245.80","       1253.65","    1857361","          2328472397.50","      84457","    1169209","         62.95"
"HDFC","EQ","12-Feb-2015","       1245.80","       1254.95","       1260.00","       1240.40","       1254.95","       1253.25","       1249.26","    2251920","          2813239985.15","     142309","    1557677","         69.17"
"HDFC","EQ","13-Feb-2015","       1253.25","       1253.90","       1275.00","       1243.65","       1267.00","       1268.65","       1258.74","    2844615","          3580626885.05","      77524","    1993079","         70.06"
"HDFC","EQ","16-Feb-2015","       1268.65","       1282.50","       1300.00","       1267.00","       1288.70","       1288.00","       1284.84","    2215683","          2846801653.35","      83097","    1333082","         60.17"
"HDFC","EQ","18-Feb-2015","       1288.00","       1295.00","       1335.00","       1291.75","       1323.35","       1328.60","       1323.53","    3780032","          5002989008.65","      90638","    2578074","         68.20"
"HDFC","EQ","19-Feb-2015","       1328.60","       1330.00","       1357.35","       1323.55","       1347.00","       1353.45","       1341.33","    3724612","          4995939940.80","      84041","    2684179","         72.07"
