"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","03-Apr-2017","       1022.25","       1032.15","       1032.45","       1006.10","       1010.30","       1008.80","       1010.88","    2157800","          2181287096.15","      66898","    1331562","         61.71"
"INFY","EQ","05-Apr-2017","       1008.80","       1005.00","       1005.40","        991.00","        995.20","        995.95","        997.87","    3699169","          3691274935.05","     155256","    2625496","         70.98"
"INFY","EQ","06-Apr-2017","        995.95","        998.15","       1005.80","        992.00","        997.45","        999.60","       1000.46","    2689504","          2690729251.35","      80666","    1937935","         72.06"
"INFY","EQ","07-Apr-2017","        999.60","       1000.90","       1000.90","        979.00","        982.60","        981.55","        985.56","    3202254","          3156004780.25","      97036","    2127344","         66.43"
"INFY","EQ","10-Apr-2017","        981.55","        984.90","        989.50","        950.10","        951.05","        953.40","        965.01","    4764236","          4597514331.75","      94190","    3501343","         73.49"
"INFY","EQ","11-Apr-2017","        953.40","        956.05","        971.70","        956.05","        968.00","        967.15","        966.20","    4327733","          4181469032.60","     104526","    3013419","         69.63"
"INFY","EQ","12-Apr-2017","        967.15","        970.00","        976.90","        960.35","        967.85","        968.85","        969.16","    3348376","          3245103250.60","      86217","    2109176","         62.99"
"INFY","EQ","13-Apr-2017","        968.85","        970.00","        990.00","        926.65","        932.90","        931.40","        942.95","   15486594","         14603160521.40","     368460","    6306494","         40.72"
"INFY","EQ","17-Apr-2017","        931.40","        930.00","        932.10","        923.50","        924.75","        924.90","        926.27","    3606717","          3340781676.50","     110168","    2201285","         61.03"
"INFY","EQ","18-Apr-2017","        924.90","        924.75","        934.00","        919.10","        923.05","        922.65","        925.65","    2323759","          2150985535.30","      77903","    1279625","         55.07"
"INFY","EQ","19-Apr-2017","        922.65","        923.00","        930.00","        912.65","        919.40","        919.20","        917.13","    5035851","          4618541691.85","     123370","    3339609","         66.32"
"INFY","EQ","20-Apr-2017","        919.20","        921.50","        929.70","        918.55","        928.15","        927.30","        924.50","    2274500","          2102780031.30","     104880","    1326416","         58.32"
"INFY","EQ","21-Apr-2017","        927.30","        934.80","        934.80","        921.10","        922.50","        923.70","        925.43","    1788733","          1655346158.65","      62461","    1072711","         59.97"
"INFY","EQ","24-Apr-2017","        923.70","        917.50","        928.50","        913.00","        927.00","        926.55","        919.84","    2778333","          2555623446.70","      78246","    1694772","         61.00"
"INFY","EQ","25-Apr-2017","        926.55","        925.90","        933.00","        920.55","        929.60","        929.35","        929.27","    2368530","          2200992056.65","     104070","    1433101","         60.51"
"INFY","EQ","26-Apr-2017","        929.35","        929.95","        935.55","        910.20","        914.15","        914.25","        916.98","    4542248","          4165168441.55","     125006","    3249587","         71.54"
"INFY","EQ","27-Apr-2017","        914.25","        916.00","        929.00","        916.00","        927.20","        925.25","        923.80","    3898604","          3601521628.85","     113696","    3119178","         80.01"
"INFY","EQ","28-Apr-2017","        925.25","        926.85","        927.40","        915.60","        921.00","        918.95","        919.78","    2514851","          2313115919.00","      79880","    1875526","         74.58"
"INFY","EQ","02-May-2017","        918.95","        924.00","        926.40","        915.10","        923.15","        922.60","        921.65","    1615563","          1488984259.95","      85885","    1084913","         67.15"
"INFY","EQ","03-May-2017","        922.60","        926.50","        939.10","        917.65","        934.00","        934.30","        932.19","    2329724","          2171737624.55","      74214","    1143378","         49.08"
"INFY","EQ","04-May-2017","        934.30","        937.00","        939.65","        928.90","        936.00","        937.65","        935.94","    2639903","          2470785900.95","     104986","    1871689","         70.90"
"INFY","EQ","05-May-2017","        937.65","        936.00","        937.35","        920.00","        930.00","        931.50","        927.04","    2216394","          2054687486.05","     108343","    1405444","         63.41"
"INFY","EQ","08-May-2017","        931.50","        938.00","        948.55","        932.00","        943.10","        945.50","        940.67","    2353549","          2213917286.45","      99288","    1802048","         76.57"
"INFY","EQ","09-May-2017","        945.50","        950.60","        951.95","        942.10","        946.95","        946.65","        947.01","    2824686","          2675013934.05","      97850","    2189223","         77.50"
"INFY","EQ","10-May-2017","        946.65","        947.15","        950.00","        937.15","        945.30","        943.65","        943.23","    1682151","          1586652709.50","      54391","    1192739","         70.91"
"INFY","EQ","11-May-2017","        943.65","        946.85","        949.85","        937.55","        944.05","        944.10","        945.45","    1614741","          1526662166.70","      67623","    1146230","         70.99"
"INFY","EQ","12-May-2017","        944.10","        953.00","        966.00","        951.45","        965.45","        964.25","        959.75","    5489998","          5269035238.25","     111297","    4090114","         74.50"
"INFY","EQ","15-May-2017","        964.25","        963.50","        963.50","        949.10","        953.25","        951.55","        951.49","    3648582","          3471579744.80","      75335","    3052819","         83.67"
"INFY","EQ","16-May-2017","        951.55","        953.10","        960.15","        946.95","        956.00","        955.00","        952.92","    3065084","          2920775219.40","      71808","    1858063","         60.62"
"INFY","EQ","17-May-2017","        955.00","        951.60","        958.45","        943.85","        952.90","        952.80","        949.48","    1457754","          1384109511.85","      75429","     792251","         54.35"
"INFY","EQ","18-May-2017","        952.80","        943.00","        973.90","        942.85","        960.25","        961.75","        962.61","    4028924","          3878281748.15","     120990","    2309450","         57.32"
"INFY","EQ","19-May-2017","        961.75","        961.50","        962.70","        947.85","        957.40","        957.95","        954.18","    2128698","          2031155370.25","      88897","    1457747","         68.48"
"INFY","EQ","22-May-2017","        957.95","        958.40","        966.90","        956.55","        960.00","        961.45","        962.29","    2751526","          2647754819.65","      99616","    2034031","         73.92"
"INFY","EQ","23-May-2017","        961.45","        964.65","        967.00","        954.10","        957.50","        957.30","        960.16","    2019991","          1939514664.80","      80122","    1436389","         71.11"
"INFY","EQ","24-May-2017","        957.30","        960.00","        965.50","        949.60","        957.00","        954.80","        958.37","    2818143","          2700826857.50","      56898","    1913750","         67.91"
"INFY","EQ","25-May-2017","        954.80","        961.00","        986.60","        961.00","        981.00","        983.30","        978.16","    5219257","          5105249719.45","      76160","    4108984","         78.73"
"INFY","EQ","26-May-2017","        983.30","        987.00","       1000.00","        980.60","        996.05","        995.70","        994.06","    2494002","          2479193881.90","      63671","    1477643","         59.25"
"INFY","EQ","29-May-2017","        995.70","        990.90","        996.70","        975.70","        986.00","        985.15","        983.11","    3154217","          3100929032.20","      83084","    2272869","         72.06"
"INFY","EQ","30-May-2017","        985.15","        982.00","       1000.00","        978.65","        993.00","        996.20","        995.45","    1858455","          1850003637.75","      62012","    1280033","         68.88"
"INFY","EQ","31-May-2017","        996.20","        993.55","        993.55","        974.85","        976.05","        977.05","        980.19","    3881950","          3805051202.80","     121323","    3086038","         79.50"
"INFY","EQ","01-Jun-2017","        977.05","        969.30","        979.70","        958.55","        971.25","        971.40","        969.49","    2754303","          2670262585.15","      81421","    1822506","         66.17"
"INFY","EQ","02-Jun-2017","        971.40","        973.40","        975.45","        964.20","        966.00","        969.45","        968.76","    1958983","          1897792688.95","      48927","    1396644","         71.29"
"INFY","EQ","05-Jun-2017","        969.45","        970.00","        972.00","        957.05","        959.00","        958.75","        961.71","    2731349","          2626761462.75","      83794","    1941199","         71.07"
"INFY","EQ","06-Jun-2017","        958.75","        965.00","        987.50","        964.40","        980.00","        979.35","        980.08","    3504343","          3434525873.65","      83178","    2018029","         57.59"
"INFY","EQ","07-Jun-2017","        979.35","        985.00","        988.90","        945.00","        959.30","        961.30","        963.75","    6227523","          6001805446.20","     139990","    2519343","         40.45"
"INFY","EQ","08-Jun-2017","        961.30","        962.95","        962.95","        948.15","        956.05","        956.45","        952.81","    3097676","          2951501576.75","      88147","    1778850","         57.43"
"INFY","EQ","09-Jun-2017","        956.45","        938.55","        950.95","        923.00","        949.00","        948.60","        937.55","    7378831","          6918028230.35","     161124","    3054942","         41.40"
"INFY","EQ","12-Jun-2017","        948.60","        943.35","        965.20","        940.10","        964.40","        963.85","        953.95","    4295838","          4097996731.10","      89686","    2215716","         51.58"
"INFY","EQ","13-Jun-2017","        963.85","        953.50","        962.95","        951.60","        957.95","        957.80","        958.26","    2468897","          2365833763.70","      69355","    1449584","         58.71"
"INFY","EQ","14-Jun-2017","        957.80","        960.00","        961.90","        951.20","        958.50","        958.60","        957.02","    3719055","          3559194776.55","      90312","    2710765","         72.89"
"INFY","EQ","15-Jun-2017","        958.60","        959.65","        967.95","        949.60","        951.35","        952.10","        956.12","    2764031","          2642752622.05","      67490","    1852460","         67.02"
"INFY","EQ","16-Jun-2017","        952.10","        949.10","        953.85","        936.00","        937.00","        940.25","        942.47","    5474225","          5159269025.25","     109487","    4241070","         77.47"
"INFY","EQ","19-Jun-2017","        940.25","        939.95","        940.25","        928.00","        930.80","        929.85","        931.98","    3427930","          3194759665.40","      82075","    2297829","         67.03"
"INFY","EQ","20-Jun-2017","        929.85","        935.00","        946.90","        934.05","        944.25","        943.55","        943.01","    2592198","          2444471885.25","     105790","    1509148","         58.22"
"INFY","EQ","21-Jun-2017","        943.55","        945.00","        949.00","        936.05","        948.55","        943.35","        941.04","    1867932","          1757791620.60","      59945","    1286468","         68.87"
"INFY","EQ","22-Jun-2017","        943.35","        947.70","        968.70","        935.10","        939.00","        940.15","        953.78","    4732621","          4513895877.95","     115123","    2848768","         60.19"
"INFY","EQ","23-Jun-2017","        940.15","        945.00","        949.15","        938.00","        943.05","        943.25","        943.77","    3201509","          3021488880.30","     118944","    2359021","         73.68"
"INFY","EQ","27-Jun-2017","        943.25","        945.00","        948.00","        923.75","        926.00","        927.05","        929.06","    3452330","          3207420226.50","     113272","    2392340","         69.30"
"INFY","EQ","28-Jun-2017","        927.05","        932.80","        933.00","        921.00","        924.00","        924.70","        925.73","    2952612","          2733310088.65","      98295","    2094305","         70.93"
"INFY","EQ","29-Jun-2017","        924.70","        930.20","        947.95","        926.60","        929.00","        930.20","        935.13","    7957020","          7440838109.90","     103952","    5660732","         71.14"
"INFY","EQ","30-Jun-2017","        930.20","        930.80","        938.00","        929.00","        934.40","        935.55","        934.42","    2108350","          1970090052.20","      64325","    1526984","         72.43"
"INFY","EQ","03-Jul-2017","        935.55","        941.10","        955.00","        934.60","        953.60","        951.90","        945.66","    2544462","          2406192366.05","      62128","    1419172","         55.77"
"INFY","EQ","04-Jul-2017","        951.90","        953.85","        970.00","        949.40","        961.00","        962.15","        962.03","    2583863","          2485762341.40","      54690","    1493619","         57.81"
"INFY","EQ","05-Jul-2017","        962.15","        959.00","        959.00","        945.40","        952.00","        950.90","        950.46","    2113114","          2008422006.70","      58308","    1201934","         56.88"
"INFY","EQ","06-Jul-2017","        950.90","        945.00","        957.00","        944.20","        946.80","        947.00","        950.12","    1914860","          1819345350.90","      56849","    1143132","         59.70"
"INFY","EQ","07-Jul-2017","        947.00","        943.85","        945.45","        933.05","        935.10","        935.40","        938.78","    2888443","          2711621745.50","      98641","    2118035","         73.33"
"INFY","EQ","10-Jul-2017","        935.40","        945.00","       1028.90","        937.30","        953.30","        957.05","        953.49","     847546","           808125207.50","      17862","     426402","         50.31"
"INFY","EQ","11-Jul-2017","        957.05","        956.65","        989.50","        956.65","        978.60","        975.35","        978.98","    5769854","          5648578195.35","     113632","    3220051","         55.81"
"INFY","EQ","12-Jul-2017","        975.35","        974.95","        981.50","        968.75","        973.00","        972.35","        974.41","    3137988","          3057672503.55","      77201","    2147850","         68.45"
"INFY","EQ","13-Jul-2017","        972.35","        977.25","        983.45","        964.10","        980.00","        977.05","        977.00","    2585196","          2525724825.00","      74502","    1139208","         44.07"
"INFY","EQ","14-Jul-2017","        977.05","        999.45","       1006.85","        966.05","        970.00","        972.05","        985.55","   11239090","         11076697425.95","     246571","    4902877","         43.62"
"INFY","EQ","17-Jul-2017","        972.05","        975.00","        992.00","        974.00","        985.55","        984.05","        984.54","    3849125","          3789602386.00","      85783","    2209178","         57.39"
"INFY","EQ","18-Jul-2017","        984.05","        986.05","       1004.80","        981.10","        983.65","        985.60","        995.69","    4130090","          4112296075.35","      93509","    2299835","         55.68"
"INFY","EQ","19-Jul-2017","        985.60","        981.45","        988.65","        969.10","        979.60","        979.85","        976.12","    2945139","          2874801639.95","     105595","    1545101","         52.46"
"INFY","EQ","20-Jul-2017","        979.85","        979.30","        979.85","        966.95","        969.00","        969.45","        970.69","    3404870","          3305085666.30","     101526","    2486394","         73.02"
"INFY","EQ","21-Jul-2017","        969.45","        973.00","        982.55","        971.40","        979.90","        980.10","        978.45","    2990377","          2925921839.85","      68179","    1923535","         64.32"
"INFY","EQ","24-Jul-2017","        980.10","        983.50","        994.00","        982.60","        990.50","        990.55","        989.58","    3064588","          3032646958.40","     110820","    2177458","         71.05"
"INFY","EQ","25-Jul-2017","        990.55","        990.00","        999.00","        986.20","        994.00","        993.85","        992.82","    3572807","          3547155443.75","     104586","    2636530","         73.79"
"INFY","EQ","26-Jul-2017","        993.85","        998.10","        999.00","        990.40","        994.00","        994.05","        993.84","    3435012","          3413852845.20","     104013","    2857462","         83.19"
"INFY","EQ","27-Jul-2017","        994.05","        996.00","       1004.00","        966.80","        969.85","        971.05","        981.64","    6338426","          6222055606.70","     100543","    4878648","         76.97"
"INFY","EQ","28-Jul-2017","        971.05","        976.00","       1003.00","        962.30","        995.70","        997.35","        987.20","    5549214","          5478201640.40","      92083","    3196985","         57.61"
"INFY","EQ","31-Jul-2017","        997.35","        991.90","       1021.70","        986.75","       1015.00","       1011.20","       1007.77","    9579124","          9653593591.35","     194493","    6840218","         71.41"
"INFY","EQ","01-Aug-2017","       1011.20","       1011.00","       1017.00","        998.35","       1004.50","       1005.55","       1005.38","    3844699","          3865373992.85","      74672","    2634496","         68.52"
"INFY","EQ","02-Aug-2017","       1005.55","       1006.00","       1012.75","        987.20","        989.10","        993.35","        999.06","    2128792","          2126780544.95","      64338","    1154252","         54.22"
"INFY","EQ","03-Aug-2017","        993.35","        991.00","        998.75","        980.25","        981.80","        984.00","        988.23","    2320174","          2292869696.85","      64881","    1484098","         63.96"
"INFY","EQ","04-Aug-2017","        984.00","        988.00","        989.00","        976.05","        983.50","        983.75","        981.53","    2674509","          2625108704.90","      54851","    1951568","         72.97"
"INFY","EQ","07-Aug-2017","        983.75","        983.50","        983.75","        965.70","        966.50","        968.25","        972.33","    3036872","          2952834608.05","      75997","    2439913","         80.34"
"INFY","EQ","08-Aug-2017","        968.25","        968.50","        970.25","        955.05","        963.50","        963.85","        963.45","    3002324","          2892578680.85","      83371","    2062272","         68.69"
"INFY","EQ","09-Aug-2017","        963.85","        967.65","        973.90","        964.55","        970.70","        969.35","        969.56","    1961205","          1901504150.20","      74542","    1112721","         56.74"
"INFY","EQ","10-Aug-2017","        969.35","        969.90","        987.50","        969.35","        984.95","        981.25","        982.00","    4570342","          4488072666.75","     118468","    3294424","         72.08"
"INFY","EQ","11-Aug-2017","        981.25","        976.00","        997.00","        969.60","        986.50","        987.70","        986.81","    3272078","          3228922463.05","      85957","    2064364","         63.09"
"INFY","EQ","14-Aug-2017","        987.70","        988.00","        989.20","        977.15","        982.00","        981.45","        981.62","    1908235","          1873162935.80","      83142","    1423038","         74.57"
"INFY","EQ","16-Aug-2017","        981.45","        982.00","        986.10","        969.00","        979.35","        975.20","        975.79","    3089040","          3014254126.05","      73688","    2010754","         65.09"
"INFY","EQ","17-Aug-2017","        975.20","       1005.00","       1029.25","        998.05","       1021.05","       1020.85","       1012.61","   12892130","         13054759560.60","     219380","    8130105","         63.06"
"INFY","EQ","18-Aug-2017","       1020.85","       1017.90","       1017.90","        884.20","        923.15","        923.25","        932.15","   82202480","         76625024333.45","    1192900","   42028494","         51.13"
"INFY","EQ","21-Aug-2017","        923.25","        924.00","        924.00","        870.00","        870.15","        873.40","        888.68","   45203588","         40171479151.00","     844350","   20137307","         44.55"
"INFY","EQ","22-Aug-2017","        873.40","        895.20","        897.05","        860.00","        876.00","        875.40","        876.30","   24621299","         21575553323.60","     436450","   10004177","         40.63"
"INFY","EQ","23-Aug-2017","        875.40","        880.00","        903.70","        873.90","        893.40","        892.80","        890.37","   30642095","         27282913878.80","     431562","   15763891","         51.45"
"INFY","EQ","24-Aug-2017","        892.80","        910.00","        918.25","        902.35","        911.50","        912.15","        910.72","   21190262","         19298432842.10","     379260","   13139149","         62.01"
"INFY","EQ","28-Aug-2017","        912.15","        943.95","        953.95","        938.00","        940.30","        941.00","        944.82","   20356054","         19232850863.35","     339901","   11887057","         58.40"
"INFY","EQ","29-Aug-2017","        941.00","        941.45","        942.00","        925.55","        926.75","        927.45","        933.49","    6684696","          6240109664.25","     148591","    3807364","         56.96"
"INFY","EQ","30-Aug-2017","        927.45","        937.20","        939.00","        924.10","        926.70","        926.65","        930.56","    8074832","          7514125821.50","     147639","    4723273","         58.49"
"INFY","EQ","31-Aug-2017","        926.65","        928.80","        928.95","        912.90","        915.00","        914.95","        916.78","    7511226","          6886139481.45","     174045","    4983033","         66.34"
"INFY","EQ","01-Sep-2017","        914.95","        915.95","        925.90","        910.00","        919.85","        919.95","        919.57","    4216961","          3877809875.80","      81607","    2288888","         54.28"
"INFY","EQ","04-Sep-2017","        919.95","        921.00","        921.10","        893.50","        899.95","        900.20","        904.13","    5088554","          4600718442.35","     141455","    2605004","         51.19"
