"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","11-Feb-2015","       2278.30","       2280.50","       2293.20","       2256.25","       2287.80","       2284.85","       2279.82","    1449243","          3304009087.15","      58510","     962023","         66.38"
"INFY","EQ","12-Feb-2015","       2284.85","       2283.00","       2321.95","       2273.00","       2309.90","       2311.20","       2301.63","    1571884","          3617897321.50","      66827","     995751","         63.35"
"INFY","EQ","13-Feb-2015","       2311.20","       2299.60","       2326.70","       2286.00","       2294.00","       2296.10","       2303.89","    1414379","          3258571859.55","      46058","     952136","         67.32"
"INFY","EQ","16-Feb-2015","       2296.10","       2280.30","       2306.90","       2265.25","       2282.00","       2278.75","       2282.89","    1561069","          3563751257.00","      90275","    1066397","         68.31"
"INFY","EQ","18-Feb-2015","       2278.75","       2290.55","       2304.95","       2258.15","       2292.05","       2296.50","       2282.33","    2153441","          4914857082.95","      64543","    1705768","         79.21"
"INFY","EQ","19-Feb-2015","       2296.50","       2294.00","       2334.00","       2292.05","       2323.20","       2324.70","       2322.17","    2418406","          5615938341.35","      61974","    1750981","         72.40"
"INFY","EQ","20-Feb-2015","       2324.70","       2328.50","       2336.00","       2276.90","       2280.50","       2283.10","       2298.14","    1742907","          4005441310.90","      70405","    1271861","         72.97"
"INFY","EQ","23-Feb-2015","       2283.10","       2300.00","       2309.20","       2248.10","       2265.00","       2265.60","       2285.41","    1272622","          2908460734.95","      76169","     871774","         68.50"
"INFY","EQ","24-Feb-2015","       2265.60","       2279.00","       2295.95","       2257.60","       2270.20","       2272.80","       2281.14","    1609419","          3671313825.15","      65245","     999155","         62.08"
"INFY","EQ","25-Feb-2015","       2272.80","       2288.90","       2334.80","       2280.00","       2314.00","       2317.60","       2316.82","    1511243","          3501281667.50","      60669","     913751","         60.46"
"INFY","EQ","26-Feb-2015","       2317.60","       2307.50","       2309.00","       2245.40","       2259.65","       2258.10","       2271.59","    1611444","          3660544074.05","      80377","     993005","         61.62"
"INFY","EQ","27-Feb-2015","       2258.10","       2274.90","       2280.65","       2251.50","       2268.70","       2265.75","       2268.66","    1950269","          4424491186.10","      74540","    1341127","         68.77"
"INFY","EQ","28-Feb-2015","       2265.75","       2274.75","       2307.90","       2256.20","       2298.00","       2296.45","       2281.05","     799334","          1823319896.00","      35786","     305895","         38.27"
"INFY","EQ","02-Mar-2015","       2296.45","       2303.00","       2308.50","       2278.05","       2287.50","       2291.70","       2290.03","    1760248","          4031020876.00","      88257","    1243988","         70.67"
"INFY","EQ","03-Mar-2015","       2291.70","       2290.00","       2302.95","       2278.30","       2298.00","       2297.85","       2293.39","    1226388","          2812587066.55","      63082","     830415","         67.71"
"INFY","EQ","04-Mar-2015","       2297.85","       2300.00","       2313.90","       2251.90","       2275.00","       2274.65","       2286.19","    1093807","          2500652735.60","      54424","     662741","         60.59"
"INFY","EQ","05-Mar-2015","       2274.65","       2267.05","       2298.75","       2233.35","       2249.00","       2247.60","       2257.52","    1421229","          3208455382.95","      52033","     958567","         67.45"
"INFY","EQ","09-Mar-2015","       2247.60","       2259.00","       2259.00","       2179.00","       2188.00","       2190.05","       2201.32","    1996180","          4394234758.40","      88526","    1390422","         69.65"
"INFY","EQ","10-Mar-2015","       2190.05","       2198.10","       2206.95","       2160.20","       2200.00","       2198.00","       2197.19","    1582479","          3477001162.70","      84918","    1117333","         70.61"
"INFY","EQ","11-Mar-2015","       2198.00","       2194.10","       2240.00","       2169.10","       2179.90","       2182.20","       2206.92","    1695228","          3741231837.15","      78278","    1042916","         61.52"
"INFY","EQ","12-Mar-2015","       2182.20","       2179.00","       2226.45","       2177.00","       2215.05","       2218.30","       2209.40","    1422141","          3142073181.25","      53839","     984067","         69.20"
"INFY","EQ","13-Mar-2015","       2218.30","       2225.00","       2230.00","       2192.40","       2220.00","       2220.40","       2213.76","    1544921","          3420086790.15","      70363","    1004099","         64.99"
"INFY","EQ","16-Mar-2015","       2220.40","       2210.55","       2282.00","       2210.55","       2261.00","       2266.65","       2256.43","    1704658","          3846441861.90","      72855","    1183185","         69.41"
"INFY","EQ","17-Mar-2015","       2266.65","       2266.65","       2279.50","       2217.25","       2245.00","       2240.50","       2244.71","    1384828","          3108540000.35","      61599","     821180","         59.30"
"INFY","EQ","18-Mar-2015","       2240.50","       2254.50","       2262.85","       2222.55","       2233.00","       2229.50","       2238.36","    1226391","          2745099823.15","      58126","     802850","         65.46"
"INFY","EQ","19-Mar-2015","       2229.50","       2234.60","       2249.00","       2222.75","       2230.65","       2230.45","       2231.73","    1722935","          3845130187.95","      72890","    1116497","         64.80"
"INFY","EQ","20-Mar-2015","       2230.45","       2241.00","       2268.90","       2232.95","       2263.55","       2257.45","       2255.17","    1607724","          3625697618.70","      61559","    1119622","         69.64"
"INFY","EQ","23-Mar-2015","       2257.45","       2253.00","       2275.00","       2225.50","       2236.00","       2233.45","       2244.84","    1269675","          2850217856.25","      67428","     881631","         69.44"
"INFY","EQ","24-Mar-2015","       2233.45","       2234.90","       2253.40","       2206.00","       2215.20","       2211.45","       2224.27","    1684133","          3745965784.75","      43962","    1219937","         72.44"
"INFY","EQ","25-Mar-2015","       2211.45","       2222.90","       2229.15","       2200.75","       2222.80","       2219.10","       2214.43","    1542742","          3416298156.70","     105633","    1101312","         71.39"
"INFY","EQ","26-Mar-2015","       2219.10","       2208.00","       2214.90","       2132.00","       2163.00","       2146.35","       2156.88","    3935210","          8487760946.60","     131427","    2896200","         73.60"
"INFY","EQ","27-Mar-2015","       2146.35","       2164.00","       2224.70","       2163.00","       2202.00","       2202.15","       2203.42","    2518555","          5549435087.80","      72286","    1560069","         61.94"
"INFY","EQ","30-Mar-2015","       2202.15","       2205.60","       2240.00","       2194.90","       2239.85","       2228.00","       2217.09","    1155772","          2562453104.10","      52162","     767169","         66.38"
"INFY","EQ","31-Mar-2015","       2228.00","       2245.00","       2273.65","       2204.35","       2215.10","       2218.35","       2222.10","    2004103","          4453315919.80","      92432","    1354814","         67.60"
"INFY","EQ","01-Apr-2015","       2218.35","       2198.90","       2199.50","       2157.70","       2171.00","       2173.95","       2171.15","    1684622","          3657560037.30","      90934","    1187902","         70.51"
"INFY","EQ","06-Apr-2015","       2173.95","       2179.00","       2184.70","       2160.40","       2179.95","       2178.20","       2171.24","    1935438","          4202294185.65","      54198","    1529651","         79.03"
"INFY","EQ","07-Apr-2015","       2178.20","       2175.00","       2182.80","       2138.00","       2161.00","       2159.50","       2160.92","    2135567","          4614786256.00","      71104","    1610234","         75.40"
"INFY","EQ","08-Apr-2015","       2159.50","       2182.50","       2204.90","       2173.05","       2200.00","       2200.55","       2191.40","    2546394","          5580179492.60","      84366","    2009389","         78.91"
"INFY","EQ","09-Apr-2015","       2200.55","       2211.40","       2218.90","       2184.40","       2212.00","       2215.00","       2202.96","    2645387","          5827671746.80","      65171","    2202202","         83.25"
"INFY","EQ","10-Apr-2015","       2215.00","       2210.20","       2238.00","       2210.20","       2228.75","       2233.95","       2229.87","    1780944","          3971279957.35","      55733","    1315996","         73.89"
"INFY","EQ","13-Apr-2015","       2233.95","       2238.00","       2244.00","       2216.10","       2231.00","       2238.80","       2235.70","    1218084","          2723274133.80","      44676","     779253","         63.97"
"INFY","EQ","15-Apr-2015","       2238.80","       2236.50","       2245.00","       2195.05","       2217.95","       2213.70","       2214.16","    1559446","          3452862596.90","      58780","    1065709","         68.34"
"INFY","EQ","16-Apr-2015","       2213.70","       2222.00","       2231.00","       2160.50","       2196.90","       2194.65","       2183.51","    2251953","          4917164806.95","      55664","    1280673","         56.87"
"INFY","EQ","17-Apr-2015","       2194.65","       2180.05","       2194.95","       2153.45","       2180.00","       2179.25","       2177.13","    1612579","          3510786628.30","      38470","    1140905","         70.75"
"INFY","EQ","20-Apr-2015","       2179.25","       2176.00","       2180.00","       2115.15","       2129.50","       2132.15","       2130.87","    3206346","          6832298664.45","      77890","    2286819","         71.32"
"INFY","EQ","21-Apr-2015","       2132.15","       2148.00","       2155.10","       2120.10","       2142.60","       2142.60","       2137.25","    2220412","          4745571560.95","      55322","    1508882","         67.96"
"INFY","EQ","22-Apr-2015","       2142.60","       2151.05","       2155.00","       2097.95","       2137.95","       2137.70","       2125.66","    3087746","          6563482785.95","      95691","    2469267","         79.97"
"INFY","EQ","23-Apr-2015","       2137.70","       2148.70","       2150.00","       2112.00","       2121.05","       2122.00","       2124.89","    2972950","          6317195718.55","      96511","    2173821","         73.12"
"INFY","EQ","24-Apr-2015","       2122.00","       2135.90","       2150.20","       1980.00","       1993.00","       1995.20","       2070.28","   10891363","         22548139448.10","     317809","    4101422","         37.66"
"INFY","EQ","27-Apr-2015","       1995.20","       2000.00","       2002.00","       1948.10","       1984.85","       1984.65","       1972.71","    4955660","          9776101992.25","     191419","    3423734","         69.09"
"INFY","EQ","28-Apr-2015","       1984.65","       1982.00","       1982.00","       1952.00","       1956.90","       1960.90","       1962.59","    2598375","          5099538669.25","     105935","    1951359","         75.10"
"INFY","EQ","29-Apr-2015","       1960.90","       1960.90","       1972.00","       1937.95","       1963.00","       1961.15","       1954.65","    2072264","          4050550195.75","      83132","    1435649","         69.28"
"INFY","EQ","30-Apr-2015","       1961.15","       1960.00","       1965.00","       1932.30","       1943.50","       1942.25","       1943.45","    3283565","          6381450709.70","      97827","    2471787","         75.28"
"INFY","EQ","04-May-2015","       1942.25","       1959.50","       2000.00","       1949.90","       1992.25","       1993.10","       1970.92","    3340398","          6583671559.55","     112574","    2455960","         73.52"
"INFY","EQ","05-May-2015","       1993.10","       2000.00","       2003.70","       1952.05","       1964.50","       1962.75","       1970.79","    2352129","          4635543850.95","     133092","    1723835","         73.29"
"INFY","EQ","06-May-2015","       1962.75","       1975.00","       1975.00","       1915.30","       1924.00","       1922.05","       1931.49","    2627102","          5074233991.05","      94364","    1893805","         72.09"
"INFY","EQ","07-May-2015","       1922.05","       1922.00","       1967.10","       1910.00","       1940.00","       1944.00","       1942.88","    1694996","          3293172516.05","      68774","     920685","         54.32"
"INFY","EQ","08-May-2015","       1944.00","       1958.00","       1967.55","       1945.25","       1962.10","       1957.95","       1956.49","    1444419","          2825994395.25","      60514","    1039019","         71.93"
"INFY","EQ","11-May-2015","       1957.95","       1965.00","       2000.00","       1952.20","       1995.95","       1993.65","       1980.94","    1196378","          2369955758.25","      54180","     780920","         65.27"
"INFY","EQ","12-May-2015","       1993.65","       1993.65","       1994.60","       1942.00","       1946.90","       1947.10","       1954.77","    2071223","          4048763183.75","      88184","    1594221","         76.97"
"INFY","EQ","13-May-2015","       1947.10","       1951.75","       1964.90","       1928.50","       1957.65","       1956.70","       1949.12","    1774771","          3459240021.60","      55815","    1134772","         63.94"
"INFY","EQ","14-May-2015","       1956.70","       1960.00","       1960.80","       1908.00","       1935.00","       1934.80","       1929.44","    1558461","          3006959162.90","      82817","    1061424","         68.11"
"INFY","EQ","15-May-2015","       1934.80","       1935.00","       1966.60","       1932.30","       1958.90","       1961.75","       1952.36","    1297336","          2532866454.40","      78808","     942026","         72.61"
"INFY","EQ","18-May-2015","       1961.75","       1970.00","       1998.90","       1961.60","       1997.00","       1993.05","       1981.93","    1617494","          3205766128.50","      72296","    1302884","         80.55"
"INFY","EQ","19-May-2015","       1993.05","       1987.30","       2035.70","       1986.00","       2022.20","       2022.35","       2016.44","    2568019","          5178250882.65","      73141","    1648122","         64.18"
"INFY","EQ","20-May-2015","       2022.35","       2040.00","       2052.00","       2033.60","       2049.90","       2047.30","       2045.73","    1470547","          3008337279.10","      63706","    1097201","         74.61"
"INFY","EQ","21-May-2015","       2047.30","       2048.90","       2061.90","       2037.25","       2048.00","       2048.45","       2046.72","    2514828","          5147155556.35","      99082","    2145570","         85.32"
"INFY","EQ","22-May-2015","       2048.45","       2044.00","       2051.55","       2030.10","       2041.90","       2046.45","       2043.07","    1722206","          3518585688.70","      78526","    1238289","         71.90"
"INFY","EQ","25-May-2015","       2046.45","       2050.50","       2056.55","       2007.05","       2021.00","       2016.80","       2029.47","    1168952","          2372348161.00","      62183","     816181","         69.82"
"INFY","EQ","26-May-2015","       2016.80","       2020.00","       2031.45","       2002.15","       2006.00","       2007.30","       2015.66","     991260","          1998042102.25","      37399","     708879","         71.51"
"INFY","EQ","27-May-2015","       2007.30","       2007.00","       2009.00","       1955.00","       1973.00","       1968.50","       1966.93","    2113677","          4157452380.25","     114474","    1609349","         76.14"
"INFY","EQ","28-May-2015","       1968.50","       1975.20","       2032.00","       1975.20","       2000.00","       2016.60","       2000.26","    2745135","          5490996904.35","      97941","    2013171","         73.34"
"INFY","EQ","29-May-2015","       2016.60","       2004.85","       2056.45","       2001.00","       2029.80","       2023.15","       2024.50","    4748261","          9612868994.65","     121421","    3809831","         80.24"
"INFY","EQ","01-Jun-2015","       2023.15","       2032.80","       2064.00","       2023.25","       2042.00","       2047.80","       2048.10","    1431223","          2931284912.85","      62717","    1029588","         71.94"
"INFY","EQ","02-Jun-2015","       2047.80","       2048.10","       2055.10","       2005.00","       2013.00","       2008.65","       2018.63","    1168285","          2358331815.60","      67384","     793960","         67.96"
"INFY","EQ","03-Jun-2015","       2008.65","       2018.20","       2039.45","       2008.00","       2032.00","       2020.90","       2019.78","    1373949","          2775067935.10","      50402","     824814","         60.03"
"INFY","EQ","04-Jun-2015","       2020.90","       2030.00","       2055.00","       2012.60","       2028.10","       2028.05","       2036.59","    1872366","          3813250262.95","      98562","    1395596","         74.54"
"INFY","EQ","05-Jun-2015","       2028.05","       2030.00","       2044.00","       2008.15","       2011.50","       2011.65","       2020.89","    1531447","          3094883382.25","      61438","    1014160","         66.22"
"INFY","EQ","08-Jun-2015","       2011.65","       2020.00","       2024.65","       1987.00","       2002.00","       2000.05","       2000.16","    1535262","          3070769016.70","      59889","    1161814","         75.68"
"INFY","EQ","09-Jun-2015","       2000.05","       2003.75","       2007.65","       1983.00","       1990.55","       1992.10","       1992.62","    1890435","          3766911108.10","      81812","    1549457","         81.96"
"INFY","EQ","10-Jun-2015","       1992.10","       1990.00","       2039.35","       1985.00","       2027.00","       2026.50","       2012.03","    1596460","          3212123213.75","      76174","    1040342","         65.17"
"INFY","EQ","11-Jun-2015","       2026.50","       2035.95","       2044.75","       1995.05","       2000.00","       1997.65","       2010.91","    2307366","          4639906733.40","      69953","    1541863","         66.82"
"INFY","EQ","12-Jun-2015","       1997.65","       2005.00","       2025.55","       1955.50","       1978.05","       1975.05","       1991.32","    2463231","          4905085617.85","     104931","    1463562","         59.42"
"INFY","EQ","15-Jun-2015","       1975.05","        976.95","        998.80","        968.00","        994.00","        990.45","        990.17","    2618213","          2592486853.80","      84843","    1444754","         55.18"
"INFY","EQ","16-Jun-2015","        990.45","        994.35","       1003.00","        985.00","        998.00","        999.35","        995.31","    2611722","          2599482810.50","      75473","    1962337","         75.14"
"INFY","EQ","17-Jun-2015","        999.35","       1011.00","       1021.00","        992.20","        997.20","        995.70","       1002.05","    3206034","          3212615217.65","      73928","    1703033","         53.12"
"INFY","EQ","18-Jun-2015","        995.70","       1005.60","       1007.95","        995.80","       1000.05","       1001.95","       1001.70","    1737213","          1740163420.15","      40621","    1143722","         65.84"
"INFY","EQ","19-Jun-2015","       1001.95","       1010.30","       1010.40","        993.10","        997.00","        995.35","        998.90","    3335229","          3331553919.05","      97129","    2599496","         77.94"
"INFY","EQ","22-Jun-2015","        995.35","       1004.90","       1028.75","        997.00","       1022.70","       1023.85","       1011.41","    2855434","          2888003446.65","     133708","    1721657","         60.29"
"INFY","EQ","23-Jun-2015","       1023.85","       1025.00","       1027.40","        998.15","       1001.45","       1000.40","       1004.30","    3476058","          3490994517.45","     119559","    2467215","         70.98"
"INFY","EQ","24-Jun-2015","       1000.40","       1015.00","       1015.00","        991.20","        995.10","        995.10","       1002.00","    3536847","          3543930986.55","      74881","    2630595","         74.38"
"INFY","EQ","25-Jun-2015","        995.10","        999.20","       1003.50","        987.65","        993.35","        990.45","        993.86","    3558733","          3536892262.65","      75358","    2394368","         67.28"
"INFY","EQ","26-Jun-2015","        990.45","        999.00","       1011.60","        998.10","       1005.90","       1005.25","       1005.91","    2660142","          2675854600.15","      63866","    1712608","         64.38"
"INFY","EQ","29-Jun-2015","       1005.25","        987.00","        999.50","        982.50","        990.40","        990.15","        989.98","    2845334","          2816829753.75","      76492","    2125823","         74.71"
"INFY","EQ","30-Jun-2015","        990.15","        990.00","        993.45","        980.00","        987.50","        984.35","        986.73","    3106265","          3065047324.45","      71225","    2281573","         73.45"
"INFY","EQ","01-Jul-2015","        984.35","        989.00","       1005.00","        986.00","        998.95","        997.40","        995.12","    3440426","          3423647679.05","      80010","    2461395","         71.54"
"INFY","EQ","02-Jul-2015","        997.40","        999.00","       1001.40","        985.05","        988.50","        988.00","        989.52","    2003784","          1982777630.95","      78544","    1336220","         66.68"
"INFY","EQ","03-Jul-2015","        988.00","        988.00","        993.00","        982.00","        990.40","        990.30","        989.70","    1347653","          1333778443.10","      35728","     855211","         63.46"
"INFY","EQ","06-Jul-2015","        990.30","        985.00","        988.00","        975.00","        981.75","        983.30","        981.33","    2152801","          2112607722.90","      60404","    1475832","         68.55"
"INFY","EQ","07-Jul-2015","        983.30","        985.00","        990.00","        979.00","        981.00","        980.50","        985.00","    1748709","          1722475960.70","      58985","    1256080","         71.83"
"INFY","EQ","08-Jul-2015","        980.50","        979.00","        979.00","        954.80","        957.45","        957.50","        962.49","    3512089","          3380333779.00","     109474","    2565864","         73.06"
"INFY","EQ","09-Jul-2015","        957.50","        957.50","        966.00","        934.05","        940.25","        938.00","        942.64","    4293886","          4047609151.05","     138299","    2935843","         68.37"
"INFY","EQ","10-Jul-2015","        938.00","        948.10","        952.10","        932.65","        935.50","        937.50","        941.18","    3705761","          3487806639.35","     134681","    2959698","         79.87"
"INFY","EQ","13-Jul-2015","        937.50","        941.00","        955.00","        934.05","        950.60","        950.15","        945.97","    3265884","          3089416554.60","      84133","    2399679","         73.48"
"INFY","EQ","14-Jul-2015","        950.15","        955.00","        973.50","        945.50","        970.00","        971.25","        961.36","    2683537","          2579856182.15","      76138","    1776741","         66.21"
"INFY","EQ","15-Jul-2015","        971.25","        970.00","        985.95","        968.00","        984.45","        984.00","        980.66","    2064783","          2024840506.55","      74801","    1311520","         63.52"
"INFY","EQ","16-Jul-2015","        984.00","        987.70","        991.50","        979.50","        990.00","        989.05","        987.36","    1736469","          1714517983.35","      52615","     995275","         57.32"
"INFY","EQ","17-Jul-2015","        989.05","        991.00","       1004.50","        989.10","        999.75","       1001.85","        997.46","    1723989","          1719615241.70","      59447","    1003912","         58.23"
"INFY","EQ","20-Jul-2015","       1001.85","       1001.40","       1010.80","        987.40","        997.00","       1001.25","        998.95","    2188590","          2186285827.30","      74145","    1054982","         48.20"
"INFY","EQ","21-Jul-2015","       1001.25","       1035.00","       1149.00","       1035.00","       1116.35","       1112.65","       1099.62","   19155056","         21063364548.10","     408583","    9575992","         49.99"
"INFY","EQ","22-Jul-2015","       1112.65","       1105.00","       1112.00","       1076.65","       1100.00","       1103.15","       1100.68","    6332830","          6970413691.30","     221999","    3840750","         60.65"
"INFY","EQ","23-Jul-2015","       1103.15","       1103.95","       1117.00","       1090.00","       1094.45","       1098.00","       1106.23","    3855374","          4264915293.05","     166660","    2123663","         55.08"
"INFY","EQ","24-Jul-2015","       1098.00","       1095.55","       1106.45","       1083.10","       1088.00","       1087.60","       1090.71","    2240151","          2443351940.05","     100221","    1424342","         63.58"
"INFY","EQ","27-Jul-2015","       1087.60","       1086.90","       1087.95","       1060.45","       1065.00","       1065.30","       1073.34","    3376122","          3623721352.85","     175039","    2443586","         72.38"
"INFY","EQ","28-Jul-2015","       1065.30","       1068.50","       1076.00","       1054.25","       1066.10","       1062.85","       1066.58","    4238301","          4520496075.25","     150481","    2952854","         69.67"
"INFY","EQ","29-Jul-2015","       1062.85","       1074.00","       1092.00","       1065.00","       1086.00","       1085.40","       1082.68","    3535667","          3828008081.00","      82510","    2422852","         68.53"
"INFY","EQ","30-Jul-2015","       1085.40","       1090.00","       1090.00","       1058.00","       1073.85","       1070.00","       1077.44","    5978299","          6441243728.35","     122143","    4349077","         72.75"
"INFY","EQ","31-Jul-2015","       1070.00","       1078.55","       1081.35","       1060.00","       1078.50","       1077.05","       1071.55","    3965506","          4249228754.90","     108976","    2869410","         72.36"
"INFY","EQ","03-Aug-2015","       1077.05","       1078.00","       1092.00","       1068.95","       1075.00","       1078.95","       1078.29","    3980506","          4292139083.45","      85130","    3021847","         75.92"
"INFY","EQ","04-Aug-2015","       1078.95","       1078.00","       1078.95","       1051.00","       1058.55","       1057.25","       1061.33","    4549527","          4828549679.65","     139666","    3264905","         71.76"
"INFY","EQ","05-Aug-2015","       1057.25","       1062.00","       1090.00","       1061.95","       1086.65","       1086.35","       1080.81","    2376738","          2568814074.00","      70472","    1514838","         63.74"
"INFY","EQ","06-Aug-2015","       1086.35","       1094.00","       1105.50","       1077.00","       1088.00","       1086.95","       1089.08","    3619126","          3941508986.25","      94093","    2240358","         61.90"
"INFY","EQ","07-Aug-2015","       1086.95","       1079.50","       1101.00","       1078.50","       1096.50","       1095.60","       1095.84","    2494029","          2733064425.60","      99571","    1729315","         69.34"
"INFY","EQ","10-Aug-2015","       1095.60","       1098.00","       1106.35","       1067.00","       1091.00","       1086.00","       1094.07","    1996377","          2184169819.40","      55130","    1297347","         64.99"
"INFY","EQ","11-Aug-2015","       1086.00","       1098.80","       1116.90","       1095.70","       1115.00","       1109.15","       1105.55","    3787203","          4186948059.45","     122276","    2697765","         71.23"
"INFY","EQ","12-Aug-2015","       1109.15","       1115.00","       1149.00","       1111.00","       1141.00","       1144.40","       1137.15","    5084220","          5781511941.80","     186856","    3807473","         74.89"
"INFY","EQ","13-Aug-2015","       1144.40","       1147.00","       1166.85","       1055.55","       1155.35","       1158.00","       1155.49","    4893980","          5654928106.45","     128074","    3469113","         70.89"
"INFY","EQ","14-Aug-2015","       1158.00","       1165.00","       1168.70","       1143.10","       1148.45","       1149.25","       1157.90","    2554533","          2957892576.95","      87830","    1592415","         62.34"
"INFY","EQ","17-Aug-2015","       1149.25","       1150.00","       1153.45","       1122.50","       1141.10","       1142.15","       1136.37","    1553718","          1765591231.65","      50967","     678282","         43.66"
"INFY","EQ","18-Aug-2015","       1142.15","       1150.00","       1177.70","       1150.00","       1162.50","       1164.35","       1167.25","    2075223","          2422304913.40","     103875","     918470","         44.26"
"INFY","EQ","19-Aug-2015","       1164.35","       1170.00","       1186.20","       1162.80","       1174.95","       1175.55","       1176.36","    3434759","          4040513415.65","      92901","    2353219","         68.51"
